mid_idx,mid_freq,fine_idx,fine_freq,cosine,difference
3,1545.4087,1752,1623.053444,0.8093911,77.64474399999995
4,1545.4102,138,1618.453046,0.8341195,73.04284600000005
5,1545.4102,1036,1623.383382,0.77343994,77.97318199999995
6,1621.582,1852,1616.310806,0.80580497,5.2711940000001505
7,1627.4414,1865,1624.864088,0.77222943,2.5773119999998926
12,1627.4414,956,1620.526786,0.79508823,6.914614000000029
26,1545.4087,665,1623.650452,0.78995407,78.24175200000013
37,1627.4414,2611,1619.785939,0.7843969,7.655460999999832
42,1627.4414,80,1618.22176,0.8748476,9.219640000000027
74,1624.5117,2309,1620.176508,0.7563075,4.335192000000006
97,1624.5117,1958,1625.378986,0.7733209,0.8672859999999218
110,1621.582,1944,1620.868958,0.7598412,0.7130420000000868
130,1618.6523,1502,1624.4111,0.9457419,5.758800000000065
132,1545.4102,2210,1618.693993,0.7505409,73.28379300000006
146,1624.5117,2224,1623.017172,0.7828281,1.4945279999999457
149,1624.5117,2552,1619.374003,0.7960815,5.1376970000001165
156,1621.5806,2036,1545.377344,0.8152313,76.20325600000001
208,1621.5806,219,1545.019884,0.7415205,76.56071599999996
212,1624.5117,1062,1619.199028,0.81144136,5.3126720000000205
217,1624.5117,925,1615.551593,0.66761786,8.960107000000107
225,1621.582,10,1545.980953,0.86403435,75.60104700000011
233,1624.5117,871,1626.247616,0.7835497,1.7359160000000884
241,1621.582,2582,1622.836875,0.79957914,1.2548749999998563
278,1621.582,2979,1545.356437,0.84075075,76.2255630000002
286,1618.6523,454,1620.799125,0.6408433,2.1468250000000353
301,1627.4414,2040,1626.140215,0.9106981,1.3011850000000322
334,1624.5117,2732,1615.76478,0.8178814,8.746920000000046
342,1545.4102,385,1623.081322,0.64680153,77.67112199999997
370,1624.5117,292,1618.230147,0.85357344,6.281553000000031
380,1618.6523,1014,1622.784872,0.6684116,4.132571999999982
428,1627.4414,938,1625.774838,0.8423596,1.6665619999998853
440,1624.5117,2536,1619.564252,0.8518923,4.947448000000122
451,1621.582,1245,1622.294934,0.9187559,0.7129339999999047
456,1627.44,2917,1624.895037,0.8180522,2.5449630000000525
488,1545.4102,65,1623.379811,0.9231994,77.96961099999999
491,1624.5117,1791,1618.01489,0.83372825,6.496810000000096
497,1627.4414,1903,1620.323345,0.870037,7.118054999999913
503,1545.4102,2383,1618.121339,0.91533613,72.711139
525,1545.4102,1809,1618.244578,0.7499181,72.83437800000002
535,1545.4102,2774,1618.98087,0.8704354,73.57067000000006
541,1627.4414,1571,1625.091841,0.85409784,2.3495589999999993
568,1621.582,547,1618.673109,0.7725681,2.9088910000000396
573,1545.4102,1853,1623.331751,0.86552334,77.92155099999991
597,1627.4414,2526,1620.97788,0.88474065,6.463520000000017
605,1621.582,2167,1545.014983,0.80529755,76.56701700000008
613,1624.5117,1530,1616.30146,0.7977408,8.210240000000113
617,1624.5117,41,1620.074814,0.8101132,4.436885999999959
633,1618.6523,1705,1622.365843,0.8447937,3.7135430000000724
634,1545.4102,213,1618.381809,0.85181934,72.97160899999994
653,1627.44,295,1626.112034,0.8489356,1.3279660000000604
662,1618.6523,2098,1621.911842,0.7863024,3.2595420000000104
686,1545.4102,730,1619.337771,0.9231072,73.92757099999994
699,1624.5117,276,1545.992506,0.7741306,78.51919399999997
702,1627.4414,85,1620.24134,0.8305313,7.200059999999894
721,1618.6523,996,1619.954166,0.82592416,1.3018660000000182
734,1545.4102,306,1620.156409,0.9518026,74.74620899999991
749,1618.6523,323,1618.493409,0.7409322,0.15889100000003964
750,1624.5117,2976,1620.843681,0.89769405,3.6680189999999584
768,1624.5117,1569,1619.954489,0.8770707,4.557211000000052
784,1624.5117,2961,1621.483876,0.883864,3.0278240000000096
792,1624.5117,788,1620.749152,0.7458361,3.7625479999999243
811,1545.4102,2740,1620.126022,0.79998124,74.71582199999989
818,1627.44,792,1626.071194,0.9419684,1.3688059999999496
833,1621.582,1115,1620.47244,0.8665812,1.1095600000001014
856,1627.4414,2940,1626.096116,0.8872583,1.3452839999999924
861,1545.4102,2549,1625.192307,0.8622131,79.782107
869,1627.4414,976,1618.241118,0.8633062,9.200282000000016
883,1621.5806,2517,1623.804054,0.69451296,2.223453999999947
893,1627.4414,398,1621.397554,0.85156745,6.0438460000000305
899,1624.5117,852,1618.190221,0.8301918,6.321478999999954
923,1627.4414,2994,1622.874395,0.83928406,4.567004999999881
937,1545.4102,2093,1618.085993,0.91617066,72.67579299999989
955,1545.4102,2181,1620.187674,0.9210343,74.77747399999998
960,1627.4414,1425,1625.859483,0.90578413,1.5819169999999758
969,1624.5117,1962,1616.38959,0.83007437,8.12211000000002
998,1618.6523,496,1620.241473,0.95620936,1.5891730000000734
1011,1545.4102,979,1620.150866,0.90965503,74.74066599999992
1012,1621.582,1235,1612.046756,0.81371695,9.535244000000148
1013,1621.582,270,1545.111731,0.6009743,76.47026900000014
1032,1545.4102,1747,1622.503228,0.82404846,77.093028
1046,1627.4414,1935,1626.117181,0.8379786,1.3242189999998573
1099,1627.4414,5,1626.466704,0.8608007,0.9746959999999945
1111,1545.4102,1748,1619.573294,0.7777366,74.163094
1123,1624.5117,1414,1622.861755,0.82223105,1.6499450000001161
1124,1621.582,1706,1625.904609,0.89954096,4.322608999999829
1130,1627.4414,47,1626.137573,0.87227815,1.3038269999999557
1136,1627.4414,2684,1626.137942,0.81962734,1.3034579999998641
1140,1627.4414,680,1620.88535,0.89958537,6.556049999999914
1173,1627.4414,1972,1625.220587,0.8801283,2.2208129999999073
1174,1624.5117,2413,1623.442892,0.82478154,1.06880799999999
1205,1624.5117,516,1618.025851,0.8997416,6.4858489999999165
1241,1618.6523,445,1623.999244,0.7731899,5.346944000000121
1242,1618.6523,1863,1621.922282,0.8049886,3.2699820000000273
1251,1627.4414,1050,1623.861593,0.8652528,3.579806999999846
1258,1627.4414,64,1622.539697,0.86638635,4.901702999999998
1274,1624.5117,2108,1620.225244,0.8423875,4.286456000000044
1278,1627.4414,736,1623.55607,0.8970839,3.88532999999984
1302,1624.5117,1792,1620.538479,0.8743617,3.973220999999967
1341,1545.4102,2662,1622.704586,0.8577164,77.29438600000003
1349,1545.4102,46,1619.006676,0.85773313,73.59647599999994
1350,1621.582,2130,1618.941067,0.8793931,2.640933000000132
1351,1618.6523,2624,1619.670823,0.8022031,1.0185229999999592
1397,1624.5117,1921,1623.203994,0.88792306,1.3077060000000529
1403,1624.5117,1807,1619.356471,0.72867036,5.155228999999963
1409,1624.5117,845,1612.830799,0.8822472,11.680900999999949
1449,1627.4414,1134,1620.718326,0.8874259,6.723073999999997
1483,1621.582,2962,1619.213238,0.79031056,2.3687620000000607
1491,1618.6523,2493,1624.019743,0.61327416,5.367443000000094
1511,1618.6523,2647,1618.544865,0.7627169,0.10743499999989581
1543,1621.582,1058,1625.690952,0.7816757,4.108951999999817
1568,1624.5103,595,1619.086401,0.80371577,5.423898999999892
1579,1545.4087,2588,1618.315108,0.81487215,72.90640800000006
1584,1624.5117,388,1623.534258,0.8318529,0.9774420000001101
1621,1627.4414,593,1545.885497,0.87118185,81.55590299999994
1622,1627.4414,1793,1545.916701,0.9276845,81.52469899999983
1641,1627.44,2821,1625.549882,0.8683727,1.8901180000000295
1652,1545.4087,1053,1624.342506,0.8564784,78.933806
1658,1627.4414,1757,1618.407884,0.8709686,9.033515999999963
1678,1624.5117,2412,1619.293937,0.8799679,5.2177630000001045
1679,1545.4102,1362,1618.397484,0.7962627,72.98728400000005
1681,1618.6523,422,1620.788958,0.85747296,2.136658000000125
1683,1545.4087,332,1619.038529,0.8700672,73.62982899999997
1704,1545.4102,2321,1618.319727,0.7936129,72.90952700000003
1705,1627.4414,2590,1626.077419,0.85694677,1.363980999999967
1712,1545.4102,2100,1618.403686,0.8598283,72.99348600000008
1728,1545.4102,2973,1618.288699,0.8161451,72.87849899999992
1738,1545.4102,1290,1623.42434,0.7539456,78.01414
1744,1624.5117,2060,1622.0973,0.75082415,2.4144000000001142
1746,1545.4087,1500,1623.47196,0.848126,78.06326000000013
1749,1621.5806,2198,1615.412439,0.891466,6.168161000000055
1754,1545.4102,1106,1618.083285,0.84962535,72.6730849999999
1756,1545.4102,2935,1619.796664,0.8624112,74.38646399999993
1778,1621.582,2042,1623.228078,0.77506286,1.6460779999999886
1785,1624.5117,637,1545.196889,0.671575,79.31481099999996
1797,1621.582,1180,1622.66699,0.90860116,1.0849899999998343
1817,1627.4414,2915,1623.582942,0.8829203,3.858457999999928
1821,1624.5117,1734,1622.813992,0.8054859,1.6977079999999205
1823,1621.582,2436,1615.338913,0.89949137,6.24308700000006
1831,1545.4102,866,1621.743321,0.7864236,76.33312099999989
1853,1545.4102,1309,1620.915625,0.8555747,75.50542500000006
1866,1621.582,544,1615.972225,0.8880479,5.609775000000127
1868,1545.4102,2427,1619.983264,0.83359087,74.57306399999993
1871,1624.5117,2024,1622.652353,0.8353435,1.8593470000000707
1873,1624.5117,2931,1616.983236,0.91927713,7.528463999999985
1875,1545.4102,2457,1618.034595,0.83959866,72.62439500000005
1890,1624.5117,1616,1615.459003,0.8744822,9.05269700000008
1911,1624.5103,2738,1625.043211,0.69468606,0.5329110000000128
1921,1621.582,1119,1622.883031,0.825836,1.3010309999999663
1924,1618.6523,2922,1621.660799,0.9674445,3.008499000000029
1941,1624.5117,129,1616.879205,0.90025675,7.632495000000063
1955,1618.6523,2602,1622.740983,0.8164096,4.088682999999946
1957,1545.4102,1910,1618.253047,0.84917074,72.84284699999989
1961,1624.5117,1105,1615.336298,0.890641,9.175402000000076
1965,1621.5806,2861,1625.679346,0.7365718,4.098745999999892
1967,1624.5117,2165,1624.02908,0.7820313,0.48261999999999716
2002,1624.5117,2041,1618.280687,0.87821764,6.231013000000075
2007,1545.4102,647,1618.908667,0.8011223,73.49846699999989
2014,1545.4102,862,1619.434096,0.6872954,74.02389599999992
2046,1618.6523,224,1624.133809,0.96601564,5.48150899999996
2051,1545.4102,2608,1621.292881,0.8116861,75.88268100000005
2054,1621.582,331,1621.170226,0.9027991,0.4117740000001504
2094,1615.7227,1588,1626.093043,0.8103558,10.370343000000048
2099,1624.5117,2370,1625.885211,0.5608562,1.3735110000000077
2155,1615.7212,623,1621.986626,0.8839851,6.265425999999934
2167,1618.6523,1162,1545.845018,0.74941677,72.80728199999999
2170,1621.582,2267,1615.780142,0.87849265,5.801858000000038
2186,1624.5117,2102,1624.20282,0.85388994,0.3088800000000447
2192,1545.4102,1546,1623.239301,0.75533175,77.82910100000004
2199,1545.4102,2991,1624.006754,0.85362816,78.59655399999997
2224,1624.5117,424,1624.006871,0.724217,0.5048289999999724
2246,1627.4414,1576,1622.424142,0.82772446,5.017257999999856
2250,1627.4414,2901,1622.261709,0.8211511,5.179690999999821
2262,1615.7227,1398,1621.842708,0.88895524,6.120007999999871
2264,1624.5117,100,1619.103544,0.824106,5.408155999999963
2274,1624.5117,1884,1623.113888,0.80060107,1.3978119999999308
2283,1624.5117,1319,1624.927565,0.9016041,0.41586499999993976
2298,1624.5117,1758,1621.242444,0.72672504,3.2692560000000412
2312,1615.7227,780,1617.163053,0.7892391,1.4403529999999591
2353,1612.7915,885,1624.835769,0.88360137,12.044268999999986
2358,1545.4102,2038,1625.222412,0.7846533,79.81221200000005
2359,1612.793,1997,1621.844633,0.89670014,9.051633000000038
2393,1624.5103,1449,1615.619344,0.7910088,8.89095599999996
2407,1627.4414,582,1625.387466,0.8138394,2.0539340000000266
2410,1621.582,1101,1618.080044,0.8500686,3.501956000000064
2413,1624.5117,607,1618.536986,0.7722269,5.974713999999949
2417,1618.6523,1946,1625.304775,0.74206746,6.652475000000095
2425,1624.5117,1522,1618.918443,0.84095764,5.593256999999994
